"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SRR52"	"countData.SRR53"	"countData.SRR54"	"countData.SRR55"	"countData.SRR56"	"countData.SRR57"	"countData.SRR58"	"countData.SRR59"	"transcripts"
"ENSMUSG00000041058:E001"	"ENSMUSG00000041058"	"E001"	0	NA	NA	NA	NA	"chr4"	19608296	19608299	4	"-"	0	0	0	0	0	0	0	0	ENSMUSTTV074090
"ENSMUSG00000041058:E002"	"ENSMUSG00000041058"	"E002"	0	NA	NA	NA	NA	"chr4"	19608300	19608302	3	"-"	0	0	0	0	0	0	0	0	c("ENSMUSTTV074090", "ENSMUSTTV074089")
"ENSMUSG00000041058:E003"	"ENSMUSG00000041058"	"E003"	20.0035020540663	0.0135688292890493	0.0203813855936659	0.886477051203675	0.938189949882472	"chr4"	19608303	19609672	1370	"-"	20	16	19	32	15	24	18	16	c("ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E004"	"ENSMUSG00000041058"	"E004"	39.7372633907057	0.0100368923783526	1.28714886070334	0.256574044871648	0.443659285923891	"chr4"	19609673	19611813	2141	"-"	47	50	40	41	33	31	28	41	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E005"	"ENSMUSG00000041058"	"E005"	0.347787740894074	0.102694987442122	4.02489300949837	0.0448334634559914	NA	"chr4"	19618285	19618357	73	"-"	0	0	0	0	2	0	1	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E006"	"ENSMUSG00000041058"	"E006"	1.45485338519632	0.0287416987409124	6.44585278097071	0.0111211645351775	0.0461528328209864	"chr4"	19619156	19619252	97	"-"	0	1	1	0	3	2	1	4	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUST00000108246")
"ENSMUSG00000041058:E007"	"ENSMUSG00000041058"	"E007"	0	NA	NA	NA	NA	"chr4"	19621928	19622032	105	"-"	0	0	0	0	0	0	0	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E008"	"ENSMUSG00000041058"	"E008"	0.124184255317475	0.185525425669278	0.896714639751835	0.343664167094593	NA	"chr4"	19623102	19623222	121	"-"	1	0	0	0	0	0	0	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E009"	"ENSMUSG00000041058"	"E009"	0.449002888388696	0.0939828323415526	1.24639502105309	0.264242127318948	NA	"chr4"	19627633	19627773	141	"-"	0	0	0	1	0	1	2	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E010"	"ENSMUSG00000041058"	"E010"	0.447651181271893	0.523551566879761	0.0189633184051559	0.890471698346477	NA	"chr4"	19627872	19628005	134	"-"	0	0	0	2	0	2	0	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E011"	"ENSMUSG00000041058"	"E011"	1.58078509783728	0.546236185911175	0.0761289104803211	0.782613598634322	0.870736309472503	"chr4"	19631046	19631205	160	"-"	2	4	0	0	0	4	0	3	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E012"	"ENSMUSG00000041058"	"E012"	0	NA	NA	NA	NA	"chr4"	19635254	19635254	1	"-"	0	0	0	0	0	0	0	0	c("ENSMUST00000035982", "ENSMUST00000108246")
"ENSMUSG00000041058:E013"	"ENSMUSG00000041058"	"E013"	0.230188194885224	0.111893360787819	2.63972750722782	0.104221418468084	NA	"chr4"	19635255	19635342	88	"-"	0	0	0	0	1	0	1	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E014"	"ENSMUSG00000041058"	"E014"	0	NA	NA	NA	NA	"chr4"	19638605	19638676	72	"-"	0	0	0	0	0	0	0	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
"ENSMUSG00000041058:E015"	"ENSMUSG00000041058"	"E015"	0.372552765952426	0.479675028725888	1.97464647853482	0.159955527002663	NA	"chr4"	19638775	19638850	76	"-"	3	0	0	0	0	0	0	0	c("ENSMUST00000035982", "ENSMUSTTV074089", "ENSMUSTTV074090", "ENSMUST00000108246")
