"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SRR33"	"countData.SRR34"	"countData.SRR35"	"countData.SRR36"	"countData.SRR37"	"countData.SRR38"	"countData.SRR39"	"countData.SRR52"	"countData.SRR53"	"countData.SRR54"	"countData.SRR55"	"transcripts"
"ENSMUSG00000002107:E001"	"ENSMUSG00000002107"	"E001"	0	NA	NA	NA	NA	"chr2"	6539694	6539704	11	"-"	0	0	0	0	0	0	0	0	0	0	0	ENSMUST00000002176
"ENSMUSG00000002107:E002"	"ENSMUSG00000002107"	"E002"	118.177409170839	0.0108923772509752	22.3741615210969	2.24372406751748e-06	1.63274074451656e-05	"chr2"	6539705	6541868	2164	"-"	107	73	73	66	92	120	118	96	124	74	133	c("ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E003"	"ENSMUSG00000002107"	"E003"	152.507574675453	0.00614457862903766	0.000844178577864341	0.976820923713562	0.991494199391663	"chr2"	6541869	6543429	1561	"-"	170	109	132	170	160	179	222	124	101	92	138	c("ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E004"	"ENSMUSG00000002107"	"E004"	200.314397343335	0.00752171910902338	5.56398689162211	0.0183336160345977	0.055588464002338	"chr2"	6543430	6544806	1377	"-"	301	158	214	205	275	259	246	168	96	120	166	c("ENSMUST00000100429", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E005"	"ENSMUSG00000002107"	"E005"	3.07708174233192	0.041065058146413	0.421100485797695	0.516388433451203	0.686838342609131	"chr2"	6544807	6544840	34	"-"	2	2	1	2	7	2	3	2	4	2	2	c("ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E006"	"ENSMUSG00000002107"	"E006"	20.4555426666047	0.00713283324223274	3.45728016531424	0.0629738209995604	0.151972537412205	"chr2"	6544841	6545634	794	"-"	15	15	13	17	24	18	23	16	13	14	26	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E007"	"ENSMUSG00000002107"	"E007"	14.6620723793346	0.0270802741217985	17.4969585816158	2.8776766506714e-05	0.000183937980509132	"chr2"	6545635	6545675	41	"-"	26	23	17	19	37	23	26	2	6	4	13	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E008"	"ENSMUSG00000002107"	"E008"	4.85566533476877	0.104338961728795	2.6372499043014	0.104384094537132	0.224425803254834	"chr2"	6545676	6546239	564	"-"	8	7	4	17	7	4	4	3	2	0	5	c("ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000170438")
"ENSMUSG00000002107:E009"	"ENSMUSG00000002107"	"E009"	0.112704341509362	0.174978098171315	0.993308112236207	0.318935184881842	NA	"chr2"	6546240	6546333	94	"-"	0	0	0	0	1	1	0	0	0	0	0	c("ENSMUST00000150624", "ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000170438")
"ENSMUSG00000002107:E010"	"ENSMUSG00000002107"	"E010"	15.6922871522964	0.0445392069826275	0.00181397730710842	0.966027719430468	0.988980546711155	"chr2"	6546334	6546779	446	"-"	6	12	21	12	16	20	30	12	8	13	12	c("ENSMUST00000150624", "ENSMUST00000182851", "ENSMUST00000114924", "ENSMUST00000142941", "ENSMUST00000170438", "ENSMUST00000183091")
"ENSMUSG00000002107:E011"	"ENSMUSG00000002107"	"E011"	2.51725808643304	0.0231850161724879	1.04409256005354	0.306871557273675	0.478604115378669	"chr2"	6546780	6546858	79	"-"	5	1	0	5	4	4	5	2	0	2	2	c("ENSMUST00000150624", "ENSMUST00000142941", "ENSMUST00000183091", "ENSMUST00000170438")
"ENSMUSG00000002107:E012"	"ENSMUSG00000002107"	"E012"	1.66900707003817	0.161222167994553	0.815439537842423	0.366516920865784	0.545165105564515	"chr2"	6546859	6546871	13	"-"	5	0	0	6	2	2	3	1	0	0	3	c("ENSMUST00000150624", "ENSMUST00000142941", "ENSMUST00000183091", "ENSMUST00000183984", "ENSMUST00000170438")
"ENSMUSG00000002107:E013"	"ENSMUSG00000002107"	"E013"	20.0476372954492	0.0060785130963804	1.27342004671416	0.259126060673644	0.42706141706841	"chr2"	6546872	6547041	170	"-"	27	19	18	19	28	31	21	12	10	15	17	c("ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000142941", "ENSMUST00000170438", "ENSMUST00000183091")
"ENSMUSG00000002107:E014"	"ENSMUSG00000002107"	"E014"	68.9925522734648	0.00564736373960418	27.5449025281576	1.53489360357435e-07	1.36982014054843e-06	"chr2"	6547042	6547213	172	"-"	115	75	86	72	115	118	101	45	26	29	59	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000114927", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E015"	"ENSMUSG00000002107"	"E015"	36.5846617585525	0.00579474314505804	7.35535733120602	0.00668632197133299	0.0237791751311316	"chr2"	6549832	6549975	144	"-"	48	36	48	37	51	59	56	35	24	9	27	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000183984", "ENSMUST00000002176")
"ENSMUSG00000002107:E016"	"ENSMUSG00000002107"	"E016"	53.4302322429305	0.00387199763806032	3.60771499182954	0.0575120891614889	0.141683427986376	"chr2"	6553785	6553888	104	"-"	67	41	46	46	43	47	65	47	47	31	49	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000114927", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E017"	"ENSMUSG00000002107"	"E017"	48.2530954181627	0.00315746217691806	0.0198930138821822	0.887836291936105	0.954424013831312	"chr2"	6553889	6553964	76	"-"	57	39	54	50	45	59	58	42	35	28	38	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E018"	"ENSMUSG00000002107"	"E018"	3.67139981485248	0.0162150435591139	1.3230312586214	0.250048758312772	0.419020929294153	"chr2"	6553965	6553982	18	"-"	3	2	4	3	2	4	3	3	4	2	4	ENSMUST00000142941
"ENSMUSG00000002107:E019"	"ENSMUSG00000002107"	"E019"	1.00631632903266	0.0441361759108313	0.00702121962129354	0.933221237704008	0.972293107286184	"chr2"	6554280	6554320	41	"-"	2	0	1	0	1	2	2	2	0	1	0	ENSMUST00000183984
"ENSMUSG00000002107:E020"	"ENSMUSG00000002107"	"E020"	3.04827405608005	0.0196783259731936	5.65080936700218	0.0174473175255919	0.0538399144269766	"chr2"	6560659	6560670	12	"-"	3	2	4	4	5	9	9	1	1	2	1	c("ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114927", "ENSMUST00000182879")
"ENSMUSG00000002107:E021"	"ENSMUSG00000002107"	"E021"	44.5253907658963	0.0054180615620653	2.25382979752359	0.133284175255638	0.270447579469682	"chr2"	6560671	6560790	120	"-"	76	39	55	44	45	64	47	31	31	21	41	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E022"	"ENSMUSG00000002107"	"E022"	2.201228222456	0.0377257899804917	5.84794952506229	0.015595212054466	0.0493387556176942	"chr2"	6585779	6585973	195	"-"	1	1	0	0	2	2	0	1	3	3	2	ENSMUST00000183269
"ENSMUSG00000002107:E023"	"ENSMUSG00000002107"	"E023"	90.5883515755153	0.0154073545069197	0.778436155735193	0.377619846035327	0.554702444641956	"chr2"	6585974	6586108	135	"-"	134	82	87	70	55	119	95	73	68	54	89	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E024"	"ENSMUSG00000002107"	"E024"	1.05811934409981	0.0553112095227493	0.0107058989423763	0.917590502620953	0.971956618054721	"chr2"	6592494	6592800	307	"-"	1	0	1	2	2	0	1	0	2	1	0	ENSMUST00000182355
"ENSMUSG00000002107:E025"	"ENSMUSG00000002107"	"E025"	52.0732372831602	0.00892313807907539	3.88144197578757	0.0488226081368884	0.12488539285595	"chr2"	6600034	6600097	64	"-"	56	47	34	32	40	69	60	45	41	33	53	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
