"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SRR52"	"countData.SRR53"	"countData.SRR54"	"countData.SRR55"	"countData.SRR56"	"countData.SRR57"	"countData.SRR58"	"countData.SRR59"	"transcripts"
"ENSMUSG00000002107:E001"	"ENSMUSG00000002107"	"E001"	0	NA	NA	NA	NA	"chr2"	6539694	6539704	11	"-"	0	0	0	0	0	0	0	0	ENSMUST00000002176
"ENSMUSG00000002107:E002"	"ENSMUSG00000002107"	"E002"	105.785490571618	0.0121158747611696	0.483901902696601	0.486660210724718	0.673213291502527	"chr2"	6539705	6541868	2164	"-"	96	124	74	133	94	116	123	92	c("ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E003"	"ENSMUSG00000002107"	"E003"	126.842147209833	0.00138951581008388	5.23212575968608	0.0221734168598859	0.0761647458544176	"chr2"	6541869	6543429	1561	"-"	124	101	92	138	116	149	155	156	c("ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E004"	"ENSMUSG00000002107"	"E004"	124.922021243443	0.0118934206034229	6.57935925810327	0.0103168023112426	0.0441388964862441	"chr2"	6543430	6544806	1377	"-"	168	96	120	166	97	90	130	125	c("ENSMUST00000100429", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E005"	"ENSMUSG00000002107"	"E005"	2.51452212698637	0.0208822605203252	0.0309712366136097	0.860304574179922	0.917805651117397	"chr2"	6544807	6544840	34	"-"	2	4	2	2	3	4	1	2	c("ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E006"	"ENSMUSG00000002107"	"E006"	13.2073292665977	0.014520729212276	10.4685501761932	0.0012142397463369	0.00799856340840975	"chr2"	6544841	6545634	794	"-"	16	13	14	26	3	15	8	9	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E007"	"ENSMUSG00000002107"	"E007"	5.10625663197234	0.0569016660893421	1.5273296403343	0.216513660938286	0.401130220041915	"chr2"	6545635	6545675	41	"-"	2	6	4	13	2	6	5	3	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E008"	"ENSMUSG00000002107"	"E008"	2.38481268572726	0.0221950330463759	0.019672863402775	0.888454579045329	0.938189949882472	"chr2"	6545676	6546239	564	"-"	3	2	0	5	4	2	2	2	c("ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000170438")
"ENSMUSG00000002107:E009"	"ENSMUSG00000002107"	"E009"	0	NA	NA	NA	NA	"chr2"	6546240	6546333	94	"-"	0	0	0	0	0	0	0	0	c("ENSMUST00000150624", "ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000170438")
"ENSMUSG00000002107:E010"	"ENSMUSG00000002107"	"E010"	10.7825647601554	0.0115394374105771	0.720222231179946	0.396071022976839	0.593391604820896	"chr2"	6546334	6546779	446	"-"	12	8	13	12	9	11	15	5	c("ENSMUST00000150624", "ENSMUST00000182851", "ENSMUST00000114924", "ENSMUST00000142941", "ENSMUST00000170438", "ENSMUST00000183091")
