"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"Adult16wk"	"Adult6wk"	"E13.5"	"Sham12wk"	"TAC4wk12wk"	"log2fold_Adult16wk_E13.5"	"log2fold_Adult6wk_E13.5"	"log2fold_Sham12wk_E13.5"	"log2fold_TAC4wk12wk_E13.5"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SRR33"	"countData.SRR34"	"countData.SRR35"	"countData.SRR36"	"countData.SRR37"	"countData.SRR38"	"countData.SRR39"	"countData.SRR40"	"countData.SRR41"	"countData.SRR42"	"countData.SRR43"	"countData.SRR44"	"countData.SRR45"	"countData.SRR46"	"countData.SRR47"	"countData.SRR48"	"countData.SRR49"	"countData.SRR50"	"countData.SRR51"	"countData.SRR52"	"countData.SRR53"	"countData.SRR54"	"countData.SRR55"	"countData.SRR56"	"countData.SRR57"	"countData.SRR58"	"countData.SRR59"	"transcripts"
"ENSMUSG00000002107:E001"	"ENSMUSG00000002107"	"E001"	0	NA	NA	NA	NA	0.000134957225796447	0.000113493425364863	8.53660379138949e-05	9.8442852555369e-05	9.02355086417967e-05	0.660768096494497	0.410874598843565	0.205624241883826	0.0800330400519545	"chr2"	6539694	6539704	11	"-"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSMUST00000002176
"ENSMUSG00000002107:E002"	"ENSMUSG00000002107"	"E002"	62.0473543498098	0.00597993214412949	76.6439319327302	8.9457522860292e-16	5.0799093338523e-15	73.4204795944372	69.9294890620982	36.267714126995	59.9569546601136	55.0887574285527	1.01749672005743	0.947215145886578	0.725241289301922	0.603072103789386	"chr2"	6539705	6541868	2164	"-"	107	73	73	66	92	120	118	38	31	28	28	33	31	30	26	20	22	35	37	96	124	74	133	94	116	123	92	c("ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E003"	"ENSMUSG00000002107"	"E003"	80.606290013427	0.00370612853294639	32.4710319361649	1.53260166605043e-06	4.74708438120814e-06	95.7198839694108	86.2351071320405	64.1687707664673	63.9112915614557	74.8443562321198	0.576947301208131	0.426403976919688	-0.00580050424478499	0.222022184624912	"chr2"	6541869	6543429	1561	"-"	170	109	132	170	160	179	222	36	37	34	44	51	31	44	34	31	43	39	30	124	101	92	138	116	149	155	156	c("ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E004"	"ENSMUSG00000002107"	"E004"	94.0015905157392	0.00592011828423492	66.7439666038412	1.10391693020916e-13	5.54282500747124e-13	107.240040444775	109.205590607085	93.225679635302	77.2503322004001	57.6595702980272	0.202044353827054	0.228247399926038	-0.271186272528405	-0.693167324257531	"chr2"	6543430	6544806	1377	"-"	301	158	214	205	275	259	246	54	41	50	47	59	44	30	38	46	37	49	48	168	96	120	166	97	90	130	125	c("ENSMUST00000100429", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E005"	"ENSMUSG00000002107"	"E005"	0.830643635541242	0.019880347319179	5.83319488617906	0.211956510304263	0.28479790257784	8.89447931185434e-05	0.739976452738991	1.06410560616102	1.40621687368526	1.29590771468322	-13.5463716595623	-0.524090069189311	0.402177774239249	0.284321646557783	"chr2"	6544807	6544840	34	"-"	2	2	1	2	7	2	3	0	1	0	1	0	0	0	0	0	0	0	0	2	4	2	2	3	4	1	2	c("ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E006"	"ENSMUSG00000002107"	"E006"	10.3105484215633	0.00725405446862623	28.1139507449174	1.18268994230925e-05	3.41904910594855e-05	13.3927280920592	12.9398009273376	7.0097630119936	9.68132606181833	4.53130377326189	0.934012291720539	0.884377847186284	0.465838998524396	-0.62943945935975	"chr2"	6544841	6545634	794	"-"	15	15	13	17	24	18	23	7	4	6	7	9	2	5	0	3	8	7	8	16	13	14	26	3	15	8	9	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E007"	"ENSMUSG00000002107"	"E007"	8.63099653383287	0.0200275125881853	60.0562931264357	2.82291291076604e-12	1.32188567632102e-11	12.9564482534817	11.0712626318628	9.65719108091851	3.50232281262706	2.07083576783345	0.423994758291068	0.197144236270409	-1.46329155898386	-2.22139048153645	"chr2"	6545635	6545675	41	"-"	26	23	17	19	37	23	26	7	2	5	7	9	0	4	2	4	7	6	7	2	6	4	13	2	6	5	3	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E008"	"ENSMUSG00000002107"	"E008"	3.41603319925372	0.0753014512291205	12.4037681674003	0.0145882128757391	0.0269712307818896	5.21086309624073	4.09138813702731	2.94405382671523	1.38565627766565	1.30082081995629	0.823718302972492	0.474786358911772	-1.08723461808251	-1.17838179531492	"chr2"	6545676	6546239	564	"-"	8	7	4	17	7	4	4	0	1	1	4	3	2	2	3	2	1	4	0	3	2	0	5	4	2	2	2	c("ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000170438")
"ENSMUSG00000002107:E009"	"ENSMUSG00000002107"	"E009"	0.0176302699880979	0.0185981775466678	1.68055469353214	0.794246784299927	NA	3.58466889794326e-05	2.24724759848031e-05	0.111663826073036	1.9028839210843e-05	1.85773828441942e-05	-11.6050344055385	-12.2787151871145	-12.5186867168095	-12.5533270032675	"chr2"	6546240	6546333	94	"-"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c("ENSMUST00000150624", "ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000170438")
"ENSMUSG00000002107:E010"	"ENSMUSG00000002107"	"E010"	5.48821802342424	0.0630835875462633	1.56795614433781	0.814539521694721	0.85205121019382	5.18289842958236	4.76639350424187	6.63533920746365	6.39596608363438	5.16151104754127	-0.356411098808522	-0.47727215743017	-0.0530079314392516	-0.362376739291415	"chr2"	6546334	6546779	446	"-"	6	12	21	12	16	20	30	8	2	2	0	0	1	0	1	1	4	4	2	12	8	13	12	9	11	15	5	c("ENSMUST00000150624", "ENSMUST00000182851", "ENSMUST00000114924", "ENSMUST00000142941", "ENSMUST00000170438", "ENSMUST00000183091")
"ENSMUSG00000002107:E011"	"ENSMUSG00000002107"	"E011"	0.808301819095855	0.0138968048747205	8.11349867031953	0.0875079631628129	0.134411374410363	1.29776192908187	3.8253594848589e-05	1.339044158124	0.842721979436484	0.648886057762835	-0.0451777885980713	-15.0952486819402	-0.668074879291131	-1.04516646458405	"chr2"	6546780	6546858	79	"-"	5	1	0	5	4	4	5	0	0	0	0	0	0	0	2	0	0	1	0	2	0	2	2	1	0	2	2	c("ENSMUST00000150624", "ENSMUST00000142941", "ENSMUST00000183091", "ENSMUST00000170438")
"ENSMUSG00000002107:E012"	"ENSMUSG00000002107"	"E012"	0.739636257497922	0.120295712752653	4.83950148984405	0.304165572912172	0.383164724238233	1.30099198329655	0.370612687465862	1.0032240332099	0.554283368278015	0.259725586886034	0.374968257373451	-1.4366596386337	-0.855948190680699	-1.94958376149054	"chr2"	6546859	6546871	13	"-"	5	0	0	6	2	2	3	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	3	1	0	1	0	c("ENSMUST00000150624", "ENSMUST00000142941", "ENSMUST00000183091", "ENSMUST00000183984", "ENSMUST00000170438")
"ENSMUSG00000002107:E013"	"ENSMUSG00000002107"	"E013"	9.06979138385548	0.0121625133233539	3.03080085539921	0.552684247780729	0.617401372813601	11.2582702064031	7.38882342929934	9.13770376956052	7.60665693133802	9.43130581251821	0.301081600988456	-0.306487020439377	-0.264569133958001	0.0456258599071588	"chr2"	6546872	6547041	170	"-"	27	19	18	19	28	31	21	7	3	2	3	3	2	3	6	5	4	6	2	12	10	15	17	20	24	23	6	c("ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000142941", "ENSMUST00000170438", "ENSMUST00000183091")
"ENSMUSG00000002107:E014"	"ENSMUSG00000002107"	"E014"	27.0966450178918	0.0108066051073707	33.1373908652091	1.11955778788266e-06	3.5840876833559e-06	29.4383195216296	22.912081688777	38.3359557857979	22.2092951240658	23.4835023181752	-0.381002831433523	-0.742589607943993	-0.787534543799506	-0.707050561994841	"chr2"	6547042	6547213	172	"-"	115	75	86	72	115	118	101	11	20	9	11	8	3	7	14	4	20	12	11	45	26	29	59	43	35	50	52	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000114927", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E015"	"ENSMUSG00000002107"	"E015"	14.902958883071	0.0054014747379917	15.0071617370299	0.00468638625390911	0.00939246320636406	14.6963005681796	15.5239279272167	18.7733589119172	13.2901667870597	12.3362723429425	-0.353233761110674	-0.274193158652488	-0.498327588860014	-0.605780278400729	"chr2"	6549832	6549975	144	"-"	48	36	48	37	51	59	56	13	5	6	6	7	5	4	5	5	5	6	9	35	24	9	27	16	18	34	27	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000183984", "ENSMUST00000002176")
"ENSMUSG00000002107:E016"	"ENSMUSG00000002107"	"E016"	25.1218476821299	0.00692805876156018	31.3962932015329	2.54126423742128e-06	7.7704041105766e-06	21.6182946351949	25.5335777299761	19.8552516413306	24.4333962688467	35.9060658761825	0.122732074791781	0.362875054968746	0.299333768339699	0.854706944342322	"chr2"	6553785	6553888	104	"-"	67	41	46	46	43	47	65	12	12	16	10	11	8	8	8	8	7	8	11	47	47	31	49	64	88	81	45	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000114927", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E017"	"ENSMUSG00000002107"	"E017"	22.1363739526625	0.00391200475304766	106.468837691669	4.11965301843096e-22	3.02319152275626e-21	16.4255878767258	17.0186862975923	20.2758297513634	20.0883012128991	45.4518439973193	-0.303815949354031	-0.252641278167234	-0.0134053890210654	1.16457787093796	"chr2"	6553889	6553964	76	"-"	57	39	54	50	45	59	58	8	9	9	6	7	7	3	6	5	7	6	11	42	35	28	38	85	100	103	63	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E018"	"ENSMUSG00000002107"	"E018"	1.0029245487667	0.0085942471858723	9.87018505408935	0.0426721025197914	0.0697075099381524	9.68346223183233e-05	0.739863901746045	1.17286016750653	1.82520973393786	1.94436611672522	-13.564148532979	-0.664699204524424	0.638031232416268	0.729268878029623	"chr2"	6553965	6553982	18	"-"	3	2	4	3	2	4	3	0	0	0	0	1	1	0	0	0	0	0	0	3	4	2	4	2	5	4	4	ENSMUST00000142941
"ENSMUSG00000002107:E019"	"ENSMUSG00000002107"	"E019"	0.473738292169179	0.0166563570630445	1.1032269229222	0.893759881280216	0.912601420366066	0.432232133766234	0.739830766499998	0.445761496338833	0.421389211254718	0.25929174757579	-0.0444656743476892	0.730923291505853	-0.0811186283301021	-0.781695715351542	"chr2"	6554280	6554320	41	"-"	2	0	1	0	1	2	2	0	0	0	1	1	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	ENSMUST00000183984
"ENSMUSG00000002107:E020"	"ENSMUSG00000002107"	"E020"	1.78639310547877	0.0465924917024969	6.57268060793177	0.160268136852152	0.224187393778524	1.29690518217844	2.59048381380632	2.0100444136869	0.704910585010077	2.08359083654206	-0.63215437255816	0.365994189820335	-1.51171520502819	0.0518446179999091	"chr2"	6560659	6560670	12	"-"	3	2	4	4	5	9	9	1	0	3	0	2	1	0	0	0	1	2	0	1	1	2	1	3	5	0	8	c("ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114927", "ENSMUST00000182879")
"ENSMUSG00000002107:E021"	"ENSMUSG00000002107"	"E021"	17.1907328366037	0.00318390827887976	6.97133203440256	0.13741097393003	0.200443530778668	15.9945107917736	15.1729848874134	20.6599400475476	17.3991762852237	18.2779804488822	-0.369259200849022	-0.445331141724441	-0.247817060320545	-0.176729393215883	"chr2"	6560671	6560790	120	"-"	76	39	55	44	45	64	47	4	4	7	5	11	10	5	3	3	9	8	9	31	31	21	41	30	40	40	31	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E022"	"ENSMUSG00000002107"	"E022"	0.831907078618511	0.0268304996350006	10.7137843887042	0.0299761688365853	0.0518066396197507	7.87890004464818e-05	1.48185582801096	0.335059414425841	1.26864977488394	0.648888405788859	-12.0541350914086	2.14491624316295	1.92080500253149	0.953553444239732	"chr2"	6585779	6585973	195	"-"	1	1	0	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	1	3	3	2	1	0	3	1	ENSMUST00000183269
