"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SRR33"	"countData.SRR34"	"countData.SRR35"	"countData.SRR36"	"countData.SRR37"	"countData.SRR38"	"countData.SRR39"	"countData.SRR52"	"countData.SRR53"	"countData.SRR54"	"countData.SRR55"	"transcripts"
"ENSMUSG00000002107:E001"	"ENSMUSG00000002107"	"E001"	0	NA	NA	NA	NA	"chr2"	6539694	6539704	11	"-"	0	0	0	0	0	0	0	0	0	0	0	ENSMUST00000002176
"ENSMUSG00000002107:E002"	"ENSMUSG00000002107"	"E002"	115.398678887586	0.0108258192297611	22.4657532264948	2.13923797299438e-06	1.70120353090505e-05	"chr2"	6539705	6541868	2164	"-"	107	73	73	66	92	120	118	96	124	74	133	c("ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E003"	"ENSMUSG00000002107"	"E003"	149.521085095928	0.00600081695974812	0.000907198372402718	0.97597156246477	0.995848783696232	"chr2"	6541869	6543429	1561	"-"	170	109	132	170	160	179	222	124	101	92	138	c("ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000100429", "ENSMUST00000170438", "ENSMUST00000002176")
"ENSMUSG00000002107:E004"	"ENSMUSG00000002107"	"E004"	196.700287472139	0.00740518969247201	5.62259654407089	0.0177303620503031	0.0564238858465775	"chr2"	6543430	6544806	1377	"-"	301	158	214	205	275	259	246	168	96	120	166	c("ENSMUST00000100429", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E005"	"ENSMUSG00000002107"	"E005"	3.01184805499162	0.0390711866959317	0.422621265385089	0.515631973349483	0.695958927450222	"chr2"	6544807	6544840	34	"-"	2	2	1	2	7	2	3	2	4	2	2	c("ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E006"	"ENSMUSG00000002107"	"E006"	19.9702056469169	0.00648529173224762	3.5266187301861	0.0603908275123464	0.153875503300942	"chr2"	6544841	6545634	794	"-"	15	15	13	17	24	18	23	16	13	14	26	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E007"	"ENSMUSG00000002107"	"E007"	14.6005038581718	0.0273864541392291	17.4251292806635	2.98848827807796e-05	0.000199631016975608	"chr2"	6545635	6545675	41	"-"	26	23	17	19	37	23	26	2	6	4	13	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000182851", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E008"	"ENSMUSG00000002107"	"E008"	4.83882261554559	0.106705158765919	2.60926754543192	0.106240822241886	0.235516159040642	"chr2"	6545676	6546239	564	"-"	8	7	4	17	7	4	4	3	2	0	5	c("ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000170438")
"ENSMUSG00000002107:E009"	"ENSMUSG00000002107"	"E009"	0.11378216091682	0.129933684752355	1.00967119894369	0.314981622448215	NA	"chr2"	6546240	6546333	94	"-"	0	0	0	0	1	1	0	0	0	0	0	c("ENSMUST00000150624", "ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000170438")
"ENSMUSG00000002107:E010"	"ENSMUSG00000002107"	"E010"	15.3334136800655	0.0454937900624652	0.0016529939341865	0.967569319853943	0.993344732063167	"chr2"	6546334	6546779	446	"-"	6	12	21	12	16	20	30	12	8	13	12	c("ENSMUST00000150624", "ENSMUST00000182851", "ENSMUST00000114924", "ENSMUST00000142941", "ENSMUST00000170438", "ENSMUST00000183091")
"ENSMUSG00000002107:E011"	"ENSMUSG00000002107"	"E011"	2.46857785974642	0.0198803144799762	1.06204704370128	0.302748765721705	0.489281069763143	"chr2"	6546780	6546858	79	"-"	5	1	0	5	4	4	5	2	0	2	2	c("ENSMUST00000150624", "ENSMUST00000142941", "ENSMUST00000183091", "ENSMUST00000170438")
"ENSMUSG00000002107:E012"	"ENSMUSG00000002107"	"E012"	1.65855021087725	0.162656466591648	0.812623772135595	0.367345666956658	0.561098107150262	"chr2"	6546859	6546871	13	"-"	5	0	0	6	2	2	3	1	0	0	3	c("ENSMUST00000150624", "ENSMUST00000142941", "ENSMUST00000183091", "ENSMUST00000183984", "ENSMUST00000170438")
"ENSMUSG00000002107:E013"	"ENSMUSG00000002107"	"E013"	19.663955743497	0.00546290091089054	1.29791368558716	0.254594664851009	0.4353308091821	"chr2"	6546872	6547041	170	"-"	27	19	18	19	28	31	21	12	10	15	17	c("ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000142941", "ENSMUST00000170438", "ENSMUST00000183091")
"ENSMUSG00000002107:E014"	"ENSMUSG00000002107"	"E014"	68.1740619579495	0.00540057329719431	27.9974613274596	1.21474708557914e-07	1.14827979221727e-06	"chr2"	6547042	6547213	172	"-"	115	75	86	72	115	118	101	45	26	29	59	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000114927", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E015"	"ENSMUSG00000002107"	"E015"	36.1524778228186	0.00537021429563725	7.48410668336658	0.00622459423755941	0.0238055092596738	"chr2"	6549832	6549975	144	"-"	48	36	48	37	51	59	56	35	24	9	27	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000183984", "ENSMUST00000002176")
"ENSMUSG00000002107:E016"	"ENSMUSG00000002107"	"E016"	52.3240148949325	0.00346499141557401	3.69957251382252	0.0544264106455568	0.142762469808502	"chr2"	6553785	6553888	104	"-"	67	41	46	46	43	47	65	47	47	31	49	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000114927", "ENSMUST00000150624", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114934", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E017"	"ENSMUSG00000002107"	"E017"	47.3398354231304	0.00279318809152745	0.0205085001707062	0.886125997595866	0.956786906886916	"chr2"	6553889	6553964	76	"-"	57	39	54	50	45	59	58	42	35	28	38	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E018"	"ENSMUSG00000002107"	"E018"	3.59205953839985	0.0136936854942765	1.34143038633951	0.246781874168062	0.429138300395466	"chr2"	6553965	6553982	18	"-"	3	2	4	3	2	4	3	3	4	2	4	ENSMUST00000142941
"ENSMUSG00000002107:E019"	"ENSMUSG00000002107"	"E019"	0.976410517938656	0.0346799747731385	0.00753747309482833	0.930815685440881	0.980211446446297	"chr2"	6554280	6554320	41	"-"	2	0	1	0	1	2	2	2	0	1	0	ENSMUST00000183984
"ENSMUSG00000002107:E020"	"ENSMUSG00000002107"	"E020"	3.01570075680776	0.0173974876224862	5.73048825429382	0.0166728464173396	0.0542408834745918	"chr2"	6560659	6560670	12	"-"	3	2	4	4	5	9	9	1	1	2	1	c("ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114927", "ENSMUST00000182879")
"ENSMUSG00000002107:E021"	"ENSMUSG00000002107"	"E021"	43.849207086766	0.00506995008476057	2.2978700756783	0.129551541829904	0.273862120070811	"chr2"	6560671	6560790	120	"-"	76	39	55	44	45	64	47	31	31	21	41	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E022"	"ENSMUSG00000002107"	"E022"	2.12128361436743	0.0305666759270697	5.94261316708068	0.0147790907420609	0.0507145511080309	"chr2"	6585779	6585973	195	"-"	1	1	0	0	2	2	0	1	3	3	2	ENSMUST00000183269
"ENSMUSG00000002107:E023"	"ENSMUSG00000002107"	"E023"	88.8019000651731	0.0154547272091967	0.777052903557461	0.378043984774416	0.568768877993941	"chr2"	6585974	6586108	135	"-"	134	82	87	70	55	119	95	73	68	54	89	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E024"	"ENSMUSG00000002107"	"E024"	1.03733348671017	0.0449294516493703	0.0104756414598057	0.918478408128833	0.979058898877756	"chr2"	6592494	6592800	307	"-"	1	0	1	2	2	0	1	0	2	1	0	ENSMUST00000182355
"ENSMUSG00000002107:E025"	"ENSMUSG00000002107"	"E025"	50.9319838198758	0.00872296508147538	3.91547577429893	0.0478434713117978	0.129565292579517	"chr2"	6600034	6600097	64	"-"	56	47	34	32	40	69	60	45	41	33	53	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E026"	"ENSMUSG00000002107"	"E026"	88.1772038742318	0.00358255953530834	0.203380829351829	0.652005666509483	0.801386014983176	"chr2"	6604024	6604170	147	"-"	104	87	96	82	81	101	96	69	64	61	76	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
